SN,thickness,defect,band_gap,electron_affinity,doping,pce
283,0.8,10000000000000,1.61,3.555,1E+017,18.9054944
284,0.8,10000000000000,1.61,3.555,1E+018,17.0714143
285,0.8,10000000000000,1.61,3.655,1000000000000000,17.7218723
286,0.8,10000000000000,1.61,3.655,1E+016,16.7631542
287,0.8,10000000000000,1.61,3.655,1E+017,16.6699759
288,0.8,10000000000000,1.61,3.655,1E+018,17.5188093
289,0.8,10000000000000,1.61,3.755,1000000000000000,15.6486435
290,0.8,10000000000000,1.61,3.755,1E+016,15.9750256
291,0.8,10000000000000,1.61,3.755,1E+017,17.7396199
292,0.8,10000000000000,1.61,3.755,1E+018,19.050116
293,0.8,10000000000000,1.61,3.855,1000000000000000,16.0965669
294,0.8,10000000000000,1.61,3.855,1E+016,17.118471
295,0.8,10000000000000,1.61,3.855,1E+017,18.4806593
296,0.8,10000000000000,1.61,3.855,1E+018,19.7138823
297,0.8,10000000000000,1.61,3.955,1000000000000000,16.7275
298,0.8,10000000000000,1.61,3.955,1E+016,17.7426013
299,0.8,10000000000000,1.61,3.955,1E+017,18.6936713
300,0.8,10000000000000,1.61,3.955,1E+018,19.7928792
301,0.8,100000000000000,1.41,3.555,1000000000000000,19.4514237
302,0.8,100000000000000,1.41,3.555,1E+016,20.3027204
303,0.8,100000000000000,1.41,3.555,1E+017,20.5363225
304,0.8,100000000000000,1.41,3.555,1E+018,20.7388607
305,0.8,100000000000000,1.41,3.655,1000000000000000,22.2061733
306,0.8,100000000000000,1.41,3.655,1E+016,23.0898508
307,0.8,100000000000000,1.41,3.655,1E+017,23.3104928
308,0.8,100000000000000,1.41,3.655,1E+018,23.2975288
309,0.8,100000000000000,1.41,3.755,1000000000000000,23.9734666
310,0.8,100000000000000,1.41,3.755,1E+016,24.4523743
311,0.8,100000000000000,1.41,3.755,1E+017,23.7932421
312,0.8,100000000000000,1.41,3.755,1E+018,21.7044128
313,0.8,100000000000000,1.41,3.855,1000000000000000,21.8137458
314,0.8,100000000000000,1.41,3.855,1E+016,20.5139337
315,0.8,100000000000000,1.41,3.855,1E+017,19.8052205
316,0.8,100000000000000,1.41,3.855,1E+018,20.82667
317,0.8,100000000000000,1.41,3.955,1000000000000000,19.0755847
318,0.8,100000000000000,1.41,3.955,1E+016,18.73618
319,0.8,100000000000000,1.41,3.955,1E+017,19.5860469
320,0.8,100000000000000,1.41,3.955,1E+018,20.8825721
321,0.8,100000000000000,1.51,3.555,1000000000000000,19.6873414
322,0.8,100000000000000,1.51,3.555,1E+016,20.4276834
323,0.8,100000000000000,1.51,3.555,1E+017,20.6026236
324,0.8,100000000000000,1.51,3.555,1E+018,20.6017902
325,0.8,100000000000000,1.51,3.655,1000000000000000,21.6437577
326,0.8,100000000000000,1.51,3.655,1E+016,22.0762345
327,0.8,100000000000000,1.51,3.655,1E+017,21.4471656
328,0.8,100000000000000,1.51,3.655,1E+018,19.4281425
329,0.8,100000000000000,1.51,3.755,1000000000000000,19.9629942
330,0.8,100000000000000,1.51,3.755,1E+016,18.9103857
331,0.8,100000000000000,1.51,3.755,1E+017,18.7021102
332,0.8,100000000000000,1.51,3.755,1E+018,19.7171471
333,0.8,100000000000000,1.51,3.855,1000000000000000,17.6687749
334,0.8,100000000000000,1.51,3.855,1E+016,17.7711755
335,0.8,100000000000000,1.51,3.855,1E+017,19.0532413
336,0.8,100000000000000,1.51,3.855,1E+018,20.3879789
337,0.8,100000000000000,1.51,3.955,1000000000000000,17.7528054
338,0.8,100000000000000,1.51,3.955,1E+016,18.3508974
339,0.8,100000000000000,1.51,3.955,1E+017,19.2956803
340,0.8,100000000000000,1.51,3.955,1E+018,20.4920118
341,0.8,100000000000000,1.61,3.555,1000000000000000,19.0958293
342,0.8,100000000000000,1.61,3.555,1E+016,19.4602655
343,0.8,100000000000000,1.61,3.555,1E+017,18.8858581
344,0.8,100000000000000,1.61,3.555,1E+018,17.0654599
345,0.8,100000000000000,1.61,3.655,1000000000000000,17.680973
346,0.8,100000000000000,1.61,3.655,1E+016,16.7524469
347,0.8,100000000000000,1.61,3.655,1E+017,16.6650983
348,0.8,100000000000000,1.61,3.655,1E+018,17.5149177
349,0.8,100000000000000,1.61,3.755,1000000000000000,15.6453918
350,0.8,100000000000000,1.61,3.755,1E+016,15.9715107
351,0.8,100000000000000,1.61,3.755,1E+017,17.7353985
352,0.8,100000000000000,1.61,3.755,1E+018,19.0458995
353,0.8,100000000000000,1.61,3.855,1000000000000000,16.0950621
354,0.8,100000000000000,1.61,3.855,1E+016,17.1155856
355,0.8,100000000000000,1.61,3.855,1E+017,18.4766571
356,0.8,100000000000000,1.61,3.855,1E+018,19.7093779
357,0.8,100000000000000,1.61,3.955,1000000000000000,16.7251724
358,0.8,100000000000000,1.61,3.955,1E+016,17.7399549
359,0.8,100000000000000,1.61,3.955,1E+017,18.6898753
360,0.8,100000000000000,1.61,3.955,1E+018,19.7883936
361,0.8,1000000000000000,1.41,3.555,1000000000000000,16.3758653
362,0.8,1000000000000000,1.41,3.555,1E+016,18.9034781
363,0.8,1000000000000000,1.41,3.555,1E+017,20.1578638
364,0.8,1000000000000000,1.41,3.555,1E+018,20.5521892
365,0.8,1000000000000000,1.41,3.655,1000000000000000,19.0815827
366,0.8,1000000000000000,1.41,3.655,1E+016,21.6475696
367,0.8,1000000000000000,1.41,3.655,1E+017,22.9063823
368,0.8,1000000000000000,1.41,3.655,1E+018,23.1018712
369,0.8,1000000000000000,1.41,3.755,1000000000000000,21.5595334
370,0.8,1000000000000000,1.41,3.755,1E+016,23.4875623
371,0.8,1000000000000000,1.41,3.755,1E+017,23.5385079
372,0.8,1000000000000000,1.41,3.755,1E+018,21.6259518
373,0.8,1000000000000000,1.41,3.855,1000000000000000,21.4598612
374,0.8,1000000000000000,1.41,3.855,1E+016,20.4062702
375,0.8,1000000000000000,1.41,3.855,1E+017,19.751864
376,0.8,1000000000000000,1.41,3.855,1E+018,20.7767102
377,0.8,1000000000000000,1.41,3.955,1000000000000000,19.024925
378,0.8,1000000000000000,1.41,3.955,1E+016,18.7007464
379,0.8,1000000000000000,1.41,3.955,1E+017,19.5432216
380,0.8,1000000000000000,1.41,3.955,1E+018,20.8336195
381,0.8,1000000000000000,1.51,3.555,1000000000000000,16.9746273
382,0.8,1000000000000000,1.51,3.555,1E+016,19.2227767
383,0.8,1000000000000000,1.51,3.555,1E+017,20.2670328
384,0.8,1000000000000000,1.51,3.555,1E+018,20.4301483
385,0.8,1000000000000000,1.51,3.655,1000000000000000,19.3037343
386,0.8,1000000000000000,1.51,3.655,1E+016,21.1925094
387,0.8,1000000000000000,1.51,3.655,1E+017,21.2260825
388,0.8,1000000000000000,1.51,3.655,1E+018,19.3606633
389,0.8,1000000000000000,1.51,3.755,1000000000000000,19.5677146
390,0.8,1000000000000000,1.51,3.755,1E+016,18.7953494
391,0.8,1000000000000000,1.51,3.755,1E+017,18.648842
392,0.8,1000000000000000,1.51,3.755,1E+018,19.6721603
393,0.8,1000000000000000,1.51,3.855,1000000000000000,17.6328844
394,0.8,1000000000000000,1.51,3.855,1E+016,17.7358958
395,0.8,1000000000000000,1.51,3.855,1E+017,19.0103657
396,0.8,1000000000000000,1.51,3.855,1E+018,20.3407398
397,0.8,1000000000000000,1.51,3.955,1000000000000000,17.7237446
398,0.8,1000000000000000,1.51,3.955,1E+016,18.3211122
399,0.8,1000000000000000,1.51,3.955,1E+017,19.2552715
400,0.8,1000000000000000,1.51,3.955,1E+018,20.4449445
401,0.8,1000000000000000,1.61,3.555,1000000000000000,17.0649719
402,0.8,1000000000000000,1.61,3.555,1E+016,18.707781
403,0.8,1000000000000000,1.61,3.555,1E+017,18.6955196
404,0.8,1000000000000000,1.61,3.555,1E+018,17.0064031
405,0.8,1000000000000000,1.61,3.655,1000000000000000,17.323695
406,0.8,1000000000000000,1.61,3.655,1E+016,16.6476909
407,0.8,1000000000000000,1.61,3.655,1E+017,16.6166714
408,0.8,1000000000000000,1.61,3.655,1E+018,17.4761898
409,0.8,1000000000000000,1.61,3.755,1000000000000000,15.6131665
410,0.8,1000000000000000,1.61,3.755,1E+016,15.9366054
411,0.8,1000000000000000,1.61,3.755,1E+017,17.6934287
412,0.8,1000000000000000,1.61,3.755,1E+018,19.0039439
413,0.8,1000000000000000,1.61,3.855,1000000000000000,16.0800635
414,0.8,1000000000000000,1.61,3.855,1E+016,17.0868855
415,0.8,1000000000000000,1.61,3.855,1E+017,18.4368557
416,0.8,1000000000000000,1.61,3.855,1E+018,19.6645822
417,0.8,1000000000000000,1.61,3.955,1000000000000000,16.7019882
418,0.8,1000000000000000,1.61,3.955,1E+016,17.7138703
419,0.8,1000000000000000,1.61,3.955,1E+017,18.6521227
420,0.8,1000000000000000,1.61,3.955,1E+018,19.7437886
421,0.8,1E+016,1.41,3.555,1000000000000000,12.4269243
422,0.8,1E+016,1.41,3.555,1E+016,15.0883476
423,0.8,1E+016,1.41,3.555,1E+017,17.7604969
424,0.8,1E+016,1.41,3.555,1E+018,19.0155816
425,0.8,1E+016,1.41,3.655,1000000000000000,15.0255216
426,0.8,1E+016,1.41,3.655,1E+016,17.6464654
427,0.8,1E+016,1.41,3.655,1E+017,20.3311041
428,0.8,1E+016,1.41,3.655,1E+018,21.4764447
429,0.8,1E+016,1.41,3.755,1000000000000000,17.6517054
